2021,2810,0.078151993,8.41659984,10323,2099.1,4458.2,1655.1,5800.8
2010,4512,0.050053821,6.786486486,3832.3,251.1,1069.8,120.1,1208.2
2011,4512,0.047064485,6.451187335,4317.8,244.5,1145.3,136.4,1140.9
2012,4512,0.057402361,4.514285714,4657,316,1212,130,1252
2013,4512,0.087016101,7.362318841,4964,508,1373,152,1330
2014,4512,0.097880602,605,5368,605,1733,259,1217
2015,4512,0.129802541,848,5598,848,2217,212,1328
2016,4512,0.0817105,814,5931,814,2419,302,1580
2017,4512,0.096275605,1034,7933,1034,2672,341,1621
2018,4512,0.040047654,437,8264,437,2071,366,1236
2019,4512,0.059185715,769,8781,769,2402,323,1521
2020,4512,-0.094261712,-1324,3566,-1324,-776,480,3346
2010,9997,0.053443992,2.110647182,33370,2022,9400,7068,2650
2011,9997,0.051924236,2.157620042,36529,2067,9569,7228,3698
2012,9997,0.069911356,3.054279749,37665,2926,10730,7429,4634
2013,9997,0.086365137,4.096033403,39055,3924,12248,8006,6422
2014,9997,0.093265275,4.424843424,40306,4239,12798,7991,6959
2015,9997,0.096682618,4.977035491,38581,4768,13200,8098,5455
2016,9997,0.088815425,5.019832985,39302,4809,13704,8841,7843
2017,9997,0.027868052,1.727557411,40534,1655,14858,8890,10817
2018,9997,0.117096221,7.061586639,41802,6765,14683,7859,10910
2019,9997,0.104688219,6.412317328,36709,6143,13734,7790,10416
2020,9997,0.073994364,4.988517745,32637,4779,11778,7013,15220
2010,3674,0.087780969,3.046509564,1071.849,137.294,503.406,175.232,459.385
2011,3674,0.119861573,4.862652102,1418.922,226.585,684.654,177.94,410.799
2012,3674,0.094577202,4.203477971,1568.581,202.078,740.869,297.589,307.11
2013,3674,0.119197634,5.917021277,1792,278.1,842.2,292.7,511.1
2014,3674,0.153910821,9.67653277,2291.5,457.7,1121.8,317.6,805.8
2015,3674,0.214631392,16.7710084,3258.4,798.3,1717,538,1043.6
2016,3674,0.258131452,21.54112554,3289,995.2,1881,416.6,1086.1
2017,3674,0.220876334,22.05676856,3651.4,1010.2,2069,454.7,1616.8
2018,3674,0.190188242,20.68468468,3868,918.4,2238.9,655.8,1027.4
2019,3674,0.176378213,20.08470588,3376.8,853.6,2023.8,465.3,1054.6
2020,3674,0.159555094,19.68115942,3355.7,814.8,1983.5,393.6,974.8
2021,3674,0.174409536,36.27845036,5109.1,1498.3,2930.8,756.2,1020.1
2010,1311,0.060035032,6.286982249,33862,2125,8318,4718,1608
2011,1311,0.043514922,5.008823529,38466,1703,9169,5011,351
2012,1311,0.046614949,5.921052632,37691,2025,9856,4338,642
2013,1311,0.118164382,15.54461538,22284,5052,8429,3525,1814
2014,1311,0.060060138,8.101398601,10737,2317,6709,2073,2444
2015,1311,-0.089369791,-10.68531469,6636,-3056,3167,1159,2716
2016,1311,-0.214248279,-19.34384858,4762,-6132,1882,1026,2732
2017,1311,-0.176272066,-12.93333333,5466,-4074,-1568,1024,4847
2018,1311,-0.013157281,-0.969072165,6323,-282,3266,1001,2694
2019,1311,-0.018731062,-1.337704918,6495,-408,3389,1170,1545
2020,1311,-0.164337708,-10.07491857,4667,-3093,304,860,1739
2010,4911,0.024061044,0.372735646,14427,1214,4597,1923,710
2011,4911,0.037263275,0.594379963,15116,1946,4525,1834,515
2012,4911,0.02315743,0.382791122,14945,1259,4784,1871,603
2013,4911,0.026234623,0.448077505,15357,1480,4854,1860,471
2014,4911,0.027400936,0.493208572,17020,1634,5216,1926,549
2015,4911,0.033187372,0.615854392,16453.2,2047.1,5343.2,1640.5,563.2
2016,4911,0.009625368,0.183547156,16380.1,610.9,5437.2,1916.7,542.2
2017,4911,0.029547761,0.57445786,15424.9,1912.6,5428.4,1891,574.3
2018,4911,0.027961071,0.576436747,16195.7,1923.8,5025.3,1926.5,603.2
2019,4911,0.025313503,0.574594724,15561.4,1921.1,5106.8,1705.1,635.3
2020,4911,0.027243391,0.65492811,14918.5,2200.1,5670.5,1842.7,639.1
2010,6141,0,0,30242,0,30242,0,0
2010,6141,0.027590756,17.04621849,30242,4057,7312,98050,22955
2011,6141,0,0,32282,0,32282,0,0
2011,6141,0.032184013,21.27155172,32282,4935,8512,105275,25866
2012,6141,0,0,33808,0,33808,0,0
2012,6141,0.029267337,20.28054299,33808,4482,9385,110223,22568
2013,6141,0,0,34932,0,34932,0,0
2013,6141,0.034940505,25.15962441,34932,5359,9881,113770,19991
2014,6141,0,0,35280,0,35280,0,0
2014,6141,0.036988617,28.70731707,35280,5885,9975,117104,22849
2015,6141,0,0,34441,0,34441,0,0
2015,6141,0.032031715,26.61340206,34441,5163,10011,105494,23102
2016,6141,0,0,33823,0,33823,0,0
2016,6141,0.034035483,29.87845304,33823,5408,9169,115534,25830
2017,6141,0,0,35583,0,35583,0,0
2017,6141,0.015102755,15.90697674,35583,2736,9618,130989,33552
2018,6141,0,0,43281,0,43281,0,0
2018,6141,0.036696323,40.71176471,43281,6921,10260,141623,29707
2019,6141,0,0,47020,0,47020,0,0
